#tyxml-html-schema format=1 generator=Gates.TyxmlSchema inputs=vendor/tyxml-d2916535/lib/html_types.mli,vendor/tyxml-d2916535/lib/html_sigs.mli,vendor/tyxml-d2916535/lib/html_f.ml input-sha256=0031c56d5bcc048b11ba47fd4d840235bfc52ced9722269510818c14004b3df3,5cf48b32cc19f4c9b400f388a749b1a8c0f4e5b058ae88e21ca568a899622f9b,4b777d7c2716e8e39c306a2c4018f3da7aee3bf7678ff3966bda6a441c793c57 rows=946 regenerate=lake exe tyxmlschema --write
#kind	file	line	span-sha256	module	name	params	body	attrs
type	lib/html_types.mli	37	0956a511b23625fa2aac3348cac99a219761e5d666a50c347a2e727d605dd159		cdata		string	
type	lib/html_types.mli	40	a366b77be7c5d43476fa8a2e9d8f2de7d7e7a6920913faaabdab00d75885adb1		id		string	
type	lib/html_types.mli	43	08d6e34916835b9ed9dba3ec1af8af3858a985a19d5975816e2bc2d2ff297000		idref		string	
type	lib/html_types.mli	46	e9bfd84c91bbf9420ec96c2f4b2df318ead5bade2ccc2f711bffe493527210cf		idrefs		idref list	
type	lib/html_types.mli	49	ee6017d0bb6316d2a89ba5a91a25f07efbbc5cd503026a832f3d664045804b0f		name		string	
type	lib/html_types.mli	52	8a0faff88477e075d0bc46b1544d0ed8b5ab7b193545c151fa7e2488334a7bbc		nmtoken		string	
type	lib/html_types.mli	56	edad43b8b41c5fca395bc88e28d50c3762229f2948f898e03ab34528bdb2801e		nmtokens		nmtoken list	
type	lib/html_types.mli	61	a387bf19f941950168c68b8c50338835c78b017674b1d5efbede6bdd6cafbabc		character		char	
type	lib/html_types.mli	64	40eac7826f55eda8a2f78d5bbe70187ac73c0561984c3b93d70ab85d99f55e84		charset		string	
type	lib/html_types.mli	68	0286361f6179fb11d98fed4a5f1d6c68917afcdfc212eb95990be983d0ece8fd		charsets		charset list	
type	lib/html_types.mli	72	14df51ea9bae76d648c176b9adb0863312d412ac45a8bcc7e631f59cf7b43ba4		contenttype		string	
type	lib/html_types.mli	76	a7c9cf4f14f672bf2630138c11a18d08b84d747e0fe00194bc49cacfaf9bcce7		contenttypes		contenttype list	
type	lib/html_types.mli	80	ca28403cd267d6fce9261b7a34fcd986d280b233d427bce1f12b9972197a522a		number		int	
type	lib/html_types.mli	83	3818f3185cf068070b5761f26c3ae89780b55e62e8a736684042f18df245f118		numbers		number list	
type	lib/html_types.mli	85	0478a41048550d8703c76162e45091e9efee99d70b04219f11f17dad328f706a		coords		string list	
type	lib/html_types.mli	88	89e49346ee038f5331bf2819ccb412c4ead0f32bfd67658052f113b30ea793ed		datetime		string	
type	lib/html_types.mli	91	94a818b10d31ac3adfc0280e22d445ead718931d73677b684e2afb5a1fae47c5		number_or_datetime		[ `Number of number | `Datetime of datetime ]	
type	lib/html_types.mli	94	3e03f1b0cc1131eda706af02f71b62a35faef9fb51dbcab2618c5b54c34fe8d8		fpi		string	
type	lib/html_types.mli	97	b1b6b80039b9c86aa2886afe876e1e6430ffa9cd197b3cdcd72da6938a962761		frametarget		string	
type	lib/html_types.mli	100	de3a5640bbc91842dd63829b274c54d30208f68e8319f7cfb822a65779d5abe0		languagecode		string	
type	lib/html_types.mli	104	7f67ad23fcdb2af133521c6f2710120df840af5d8d5e186add30d08e59fb3bcf		linktype		[ `Alternate | `Archives | `Author | `Bookmark | `Canonical | `Dns_prefetch | `External | `First | `Help | `Icon | `Index | `Last | `License | `Manifest | `Me | `Modulepreload | `Next | `Nofollow | `Noopener | `Noreferrer | `Opener | `Pingback | `Preconnect | `Prefetch | `Prev | `Preload | `Prerender | `Search | `Stylesheet | `Sidebar | `Tag | `Up | `Other of string ]	reflect.total_variant
type	lib/html_types.mli	140	ebf24d9b2c524a48470b175333760775f2923ca825b6e39a1ab76a7665d3d60b		linktypes		linktype list	
type	lib/html_types.mli	218	616e3b340e331d7af11ed30356d7b9f638f236881f79c992473c46ecb3b16f22		mediadesc_token		[ `All | `Aural | `Braille | `Embossed | `Handheld | `Print | `Projection | `Screen | `Speech | `Tty | `Tv | `Raw_mediadesc of string ]	reflect.total_variant
type	lib/html_types.mli	232	ec142efca2e46e95df138a9651eab534b85561b543781f32a77bef2f235d7fe0		mediadesc		mediadesc_token list	
type	lib/html_types.mli	260	bb819f0fbb1f6299a9d6c00f84c4ff00c5ff6e446e79e183423d2647aaf597c7		float_number		float	
type	lib/html_types.mli	262	f713655d3cb975153070e5546690fcefd5fcecce5b687973493a0c6679ff1fb8		pixels		int	
type	lib/html_types.mli	269	835f9fe906d6af24bbd9f7e3cc3f01c4da83434926b5d8fc53baba4f931944de		script_		string	
type	lib/html_types.mli	282	f2fea48c8499aaa3db39d0aa07257f81ba50643581cc5d00e0d3abe7d01635dc		text		string	
type	lib/html_types.mli	287	82eb0272e063e9d88556b9da991a1bea24d36843da15c83ca8d237134ba879ca		i18n		[ `XML_lang | `Lang ]	
type	lib/html_types.mli	289	78541eb0cb12af5129cdfc30ee124a841627e832fe2e1ea90290bbf83caacf1b		core		[ `Accesskey | `Class | `Contenteditable | `Contextmenu | `Dir | `Draggable | `Hidden | `Id | i18n | `Spellcheck | `Style_Attr | `Tabindex | `Translate | `Title | `User_data | `XMLns ]	
type	lib/html_types.mli	312	e3ae6d4b109a9905e3296d4436df2296e8fc2082c65bf4794ae821f7f612865f		events		[ `OnAbort | `OnBlur | `OnCanPlay | `OnCanPlayThrough | `OnChange | `OnClick | `OnClose | `OnContextMenu | `OnDblClick | `OnDrag | `OnDragEnd | `OnDragEnter | `OnDragLeave | `OnDragOver | `OnDragStart | `OnDrop | `OnDurationChange | `OnEmptied | `OnEnded | `OnError | `OnFocus | `OnFormChange | `OnFormInput | `OnInput | `OnInvalid | `OnMouseDown | `OnMouseUp | `OnMouseOver | `OnMouseMove | `OnMouseOut | `OnMouseWheel | `OnPause | `OnPlay | `OnPlaying | `OnProgress | `OnRateChange | `OnReadyStateChange | `OnScroll | `OnSeeked | `OnSeeking | `OnSelect | `OnShow | `OnStalled | `OnSubmit | `OnSuspend | `OnTimeUpdate | `OnTouchStart | `OnTouchEnd | `OnTouchMove | `OnTouchCancel | `OnVolumeChange | `OnWaiting | `OnKeyPress | `OnKeyDown | `OnKeyUp | `OnLoad | `OnLoadedData | `OnLoadedMetaData | `OnLoadStart ]	
type	lib/html_types.mli	377	452183acf73dbc96cb861d1b05421b3e3d302844bb52acf16bba65ed5f5f381e		aria		[ `Role | `Aria ]	
type	lib/html_types.mli	384	629a4d95563ef4a47ace863798f061467f3eddef71a9aa39102df896e4cd001e		common		[ core | i18n | events | aria ]	
type	lib/html_types.mli	394	76dde0eada1d509f3f782066a9cea4fa6cf09dd0b67f9df0c7b0fe5c5ac662ee		heading		[ `H1 | `H2 | `H3 | `H4 | `H5 | `H6 | `Hgroup ]	
type	lib/html_types.mli	396	db195639ce3e5ec63e8b69e07d5be75776fa6090e7aef98221b1936670e226fe		sectioning		[ `Section | `Nav | `Aside | `Article ]	
type	lib/html_types.mli	398	621aa10324fa7dbf12b6eb56a4008ab7693524ddc6deeb8d5462f54062b9de75		resetable		[ `Textarea | `Select | `Output | `Keygen | `Input ]	
type	lib/html_types.mli	400	a7842bc474926854ee8f606a81fd9a9378368c0fd498f97cd87e5e6210c77d0a		submitable		[ `Textarea | `Select | `Keygen | `Input | `Button ]	
type	lib/html_types.mli	402	bbf08724964cfd35a2982b76087f9a65e97aa8c032c5c74cd3d095436924dbb3		labelable		[ resetable | `Progress | `Meter | `Button ]	
type	lib/html_types.mli	404	b2288d213bbebfd9fc597efc1eeaef7ca976f1518e9a49d783017eebed088079		labelable_without_interactive		[ `Progress | `Meter ]	
type	lib/html_types.mli	406	5fddf910449ab23f8c575efa401ec48948efcc742a70f8a39d8a5ede7addfae1		formatblock		[ heading | sectioning | `Pre | `P | `Header | `Footer | `Div | `Blockquote | `Address ]	
type	lib/html_types.mli	419	2025a5a324cf27c4aadeca37785d97c1fcdd82f5fefe28232a7cb7fcaa7c4f4d		sectionningroot		[ `Td | `Figure | `Fieldset | `Details | `Body | `Blockquote | `Dialog ]	
type	lib/html_types.mli	423	4f1c437e44208c8b8a568970e6e3599e6ca3d67f14154cd69563fb6f376da9b4		listed		[ resetable | submitable | `Fieldset ]	
type	lib/html_types.mli	425	87dfefa8712e0a4b16f475cdbac514c1fefacdd1e8ad658928404c0778473239		formassociated		[ listed | `Progress | `Meter | `Label ]	
type	lib/html_types.mli	427	7acd4597b5971a33f65084c8928fdc06c52891e06667d898f85f81ed07d56ce5		subressource_integrity		[ `Crossorigin | `Integrity ]	
type	lib/html_types.mli	440	aa22d61bf5ecb0f600461eb3728b9a894c490613e7c61836fe547b5aed89d41f		transparent	(+'interactive, +'noscript, +'regular, +'media)	[ `A of 'interactive | `Noscript of 'noscript | `Canvas of 'regular | `Map of 'regular | `Ins of 'regular | `Del of 'regular | `Object of 'regular | `Object_interactive of 'regular | `Audio_interactive of 'media | `Video_interactive of 'media | `Audio of 'media | `Video of 'media ]	
type	lib/html_types.mli	456	56472e6d073b108ea421487791a8e40af5f51e333da558ef260345127b46c3c2		transparent_without_interactive	(+'noscript, +'regular, +'media)	[ `Noscript of 'noscript | `Ins of 'regular | `Del of 'regular | `Object of 'regular | `Canvas of 'regular | `Map of 'regular | `Audio of 'media | `Video of 'media ]	
type	lib/html_types.mli	468	ba9b63d8be09781f7c2f76709efa74260bcfd05c92b95db8756164b82c9fbc00		transparent_without_noscript	(+'interactive, +'regular, +'media)	[ `A of 'interactive | `Ins of 'regular | `Del of 'regular | `Canvas of 'regular | `Map of 'regular | `Object of 'regular | `Object_interactive of 'regular | `Video of 'media | `Audio of 'media | `Video_interactive of 'media | `Audio_interactive of 'media ]	
type	lib/html_types.mli	483	58d640499469449b1a2b502e278e34f17920d77f50c52000a4af3e857ae3fa47		transparent_without_media	(+'interactive, +'noscript, +'regular)	[ `A of 'interactive | `Noscript of 'noscript | `Ins of 'regular | `Del of 'regular | `Map of 'regular | `Canvas of 'regular | `Object of 'regular | `Object_interactive of 'regular ]	
type	lib/html_types.mli	496	aff1441d2d8548bb18cb62d2d7d6542cbf906df40a0b3d3e5a61d615ad51f867		metadata_without_title		[ `Template | `Style | `Script | `Noscript of [ `Meta | `Link | `Style ] | `Meta | `Link | `Command | `Base ]	
type	lib/html_types.mli	509	4dad09d0d28f7065050e74987db471901dcf3f7b81ac83989f04dc01730d6c0e		metadata		[ metadata_without_title | `Title ]	
type	lib/html_types.mli	515	3fc51eb99c7c8758443fb3c9dbcdc364cb97803a088906f5d491360174f29e28		core_interactive		[ `Textarea | `Select | `Menu | `Label | `Keygen | `Input | `Img_interactive | `Iframe | `Embed | `Details | `Button ]	
type	lib/html_types.mli	530	a1e1c838f2246d22e71b1a03b2b5cf44eb5991d7846ce9e92a1f9254a7a1f4cc		interactive		[ core_interactive | (interactive, interactive, interactive) transparent_without_interactive ]	
type	lib/html_types.mli	536	9cefa235267019dbdbf6f885a227fb9b6583908ca46eb003644de086c080e0ca		core_phrasing		[ labelable | submitable | `Wbr | `Var | `U | `Svg | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `Img | `Img_interactive | `Picture | `PCDATA ]	
type	lib/html_types.mli	576	831988ad325f69db6b10ab6d58854119a872328a2c9a9951288c44306049dbd4		core_phrasing_without_noscript		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Svg | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `Img | `Img_interactive | `Picture | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	615	d2210a08681d331cd77ce44211c835c11d6c951fd6617cd464aefffea10ca450		core_phrasing_without_interactive		[ labelable_without_interactive | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Svg | `Samp | `Ruby | `Q | `Mark | `Kbd | `Img | `Picture | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	651	596ef03d7f9e2cfd34d2925ca05e0d216186821223a856c4acab8f462ef16d6a		core_phrasing_without_media		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Svg | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Img | `Img_interactive | `Picture | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	691	8e6906d90ea59dd673021f54cacf3837903cbfc1e488ef65281dada4a6f65e9e		phrasing_without_noscript		(phrasing_without_interactive, phrasing, phrasing_without_media) transparent_without_noscript	
type	lib/html_types.mli	696	fc78a421df8d68ddae2fa0214eb8b1f15b1177df03d597d9cf65772176091a5c		phrasing_without_media		[ core_phrasing_without_media | (phrasing_without_interactive, phrasing_without_noscript, phrasing) transparent_without_media ]	
